"","SurveyType","UniqueID_long","UniqueID_short","TimeTaken","StartDate","StartTime","CompletionDate","CompletionTime","Q1_aware_stork","Q2_photo_recog","Q2_photo_recog_score","Q3_is_native","Q3_is_native_explain","Q4.1_migrate","Q4.1_migrate_score","Q4.2_wingspan","Q4.2_wingspan_score","Q4.3_globallyrare","Q4.3_globallyrare_score","Q4_overallscore","Q5a_amphibians_diet","Q5b_birdeggs.chicks_diet","Q5c_carrion_diet","Q5d_fish_diet","Q5e_foodwaste_diet","Q5f_fruit_diet","Q5g_inverts_diet","Q5h_reptiles_diet","Q5i_seeds_diet","Q5j_smallmammals_diet","Q5k_vegetation_diet","Q5l_Don.tKnow_diet","Q5_rawscore_diet","Q5_diet_overallscore","Q6a_farmland_habitat","Q6b_grassland_habitat","Q6c_wetlands_habitat","Q6d_woodland_habitat","Q6e_urban_habitat","Q6f_Don.tKnow_habitat","Q6_habitat_rawscore","Q6_habitat_overallscore","Q7a_chimneys_nesting","Q7b_ground_nesting","Q7c_roofs_nesting","Q7d_telegraphpoles_nesting","Q7e_trees_nesting","Q7f_Don.tKnow_nesting","Q7_nesting_rawscore","Q7_nesting_overallscore","KnowledgeScore","Q8_wild_seen","Q8_captivity_seen","Q8_pictures_video","Q8_No","Q8_NotSure","Q8.1_UK","Q8.1_OutsideUK","Q8.2_feelings","Q9_heard","Q9a_what_heard","Q10_project_knowledge","Q10a_WSPwebsite","Q10a_Socialmedia","Q10a_TV.Radio","Q10a_Newspaper","Q10a_Email","Q10a_Magazine","Q10a_Leaflet","Q10a_spokesperson","Q10a_VisitingKnepp","Q10a_Wordofmouth","Q10a_Other","Q10a_Other_open","Q10b_WSPwebsite","Q10b_Socialmedia","Q10b_TV.Radio","Q10b_Newspaper","Q10b_Email","Q10b_Magazine","Q10b_Leaflet","Q10b_spokesperson","Q10b_NotInterested","Q10b_Other","Q10b_Other_open","Q11_word1","Q11_word2","Q11_word3","Q12.1..White.storks.symbolise.the.beauty.of.nature.","Q12.1_agreement_score","Q12.2..White.storks.play.an.important.role.in.their.environment.","Q12.2_agreement_score","Q12.3..Reintroduced.white.storks.may.have.a.negative.impact.on.my.life.","Q12.3_agreement_score","Q12.4..I.do.not.want.white.storks.living.near.me.","Q12.4_agreement_score","Q12.5..White.storks.in.England.could.benefit.the.tourism.industry.where.they.re.found.","Q12.5_agreement_score","Q13.1..I.would.find.it.exciting.to.see.white.storks.in.the.wild.in.England.","Q13.1_agreement_score","Q13.2..White.storks.symbolise.hope..rebirth.and.new.life.","Q13.2_agreement_score","Q13.3..Money.spent.reintroducing.white.storks.would.be.better.spent.elsewhere.","Q13.3_agreement_score","Q13.4..White.storks.might.be.detrimental.to.local.wildlife.","Q13.4_agreement_score","Q13.5..There.is.no.need.to.reintroduce.the.white.stork.to.England.as.it.is.a.common.species.throughout.mainland.Europe.","Q13.5_agreement_score","Q14.1..I.think.white.storks.are.useless.birds.","Q14.1_agreement_score","Q14.2..White.storks.are.part.of.our.cultural.and.natural.heritage.","Q14.2_agreement_score","Q14.3..The.reintroduced.white.stork.can.help.people..re.connect.with.the.natural.world.","Q14.3_agreement_score","Q14.4..The.countryside.will.be.worse.off.with.white.storks.around.","Q14.4_agreement_score","OverallAttitudeScore","Q14.5..Overall..I.support.efforts.that.aim.to.reintroduce.the.UK.s.lost.species.and.restore.its.natural.systems.","Q14.5_agreement_score","Q15_WSP_support","Q15_WSP_support_open","Q16_views_management","Q16_views_management_open","Q17.1_Nest_monitoring","Q17.2_Nesting_platforms","Q17.3_Discouragenestbuilding","Q17.4_Nest_removal","Q17.5_Tracking","Q17.6_Public_engagement","Q17.7_Supplementary_food","Q17.8_compensation_storkdamage","Q17.9_Stork_relocation","Q17.10_Culling","Q17_11.management.not.needed","Q17.12_Don.tknow","Q17.13_other","Q17.13a_other_open","Q18_exp_nature","Q18a_dogwalking","Q18a_walking","Q18a_running.cycling","Q18a.golf","Q18a.picnic","Q18a.horse.riding","Q18a.bird.wildlife.watching","Q18a.photography","Q18a.camping","Q18a.fishing","Q18a.shooting.hunting","Q18a.water.sports.swimming","Q18a.gardening","Q18a.don.t.spend.free.time.in.green.natural.spaces","Q18a_other","Q18a_other_open","Q19.1..I.find.being.in.nature.really.amazing","Q19.1.score","Q19.2..Spending.time.in.nature.is.very.important.to.me","Q19.2.score","Q19.3..Being.in.nature.makes.me.very.happy","Q19.3.score","Q19.4..I.always.find.beauty.in.nature","Q19.4.score","Q19.5..I.always.treat.nature.with.respect","Q19.5.score","Q19.6..I.feel.part.of.nature","Q19.6.score","NCI","Q20.1..Damage.to.the.natural.environment","Q20.2..The.consequences.of.a.loss.of.variety.of.wildlife","EnvConcern.score","Q21.1..When.I.see.litter..I.pick.it.up","Q21.1.score","Q21.2..I.vote.for.nature.or.wildlife.conservation.friendly.legislation.in.local.or.national.referendums.votes.etc.","Q21.2.score","Q21.3..I.get.in.touch.with.local.authorities.on.nature.conservation.issues","Q21.3.score","Q21.4..I.vote.for.parties..candidates.with.strong.pro.nature.conservation.policies.in.elections","Q21.4.score","ProCoBS","Q22....Are.you.a.member.of.any.environmental..wildlife.or.conservation.organisations.","Q22.a..Which.ones...Optional..","Q23.1..I.pay.attention.to.birds.wherever.I.go.","Q23.1..Score","Q23.2..I.can.identify.common.birds.in.my.area.","Q23.2.Score","Q23.3..Seeing.a.new.bird.fills.me.with.excitement.","Q23.3.Score","Q23.4..I.am.not.interested.in.birds.","Q24.4.score","BirdInterestScore","Age_group","Gender","Gender_other","Region","County","Area_type","Postcode","ReleaseSite","Q27_Knepp_visit","Q27.a_Knepp_activity","Q27.a_Knepp_activity_other","Education","Education_other","Occupation","Occupation_other","Q30_Press","Q30_TV.Radio","Q30_Facebook","Q30_Twitter","Q30_Social_media","Q30_Durrell.WSP","Q30_Other_wildlife.nature.org.","Q30_Farming_org.","Q30_Business_org.","Q30_Tourism_org.","Q30_Local_council","Q30_Friend.family","Q30_Researcher","Q30_other","Q30.a_Other_open","Q31_comments","Age_group_match","SecsTaken"
"2565","NatRep","692676-692667-71677320",172,"00:05:01","02/02/2021","15:41:48","02/02/2021","15:46:49","Yes","D",0,"Not sure","","TRUE",1,"TRUE",1,"TRUE",0,2,0,0,0,0,1,0,0,0,0,0,0,0,4,0.4,0,0,1,1,0,0,2,0.4,0,1,0,0,0,0,0,0,2.8,0,0,0,1,0,NA,NA,"","Yes","","I have heard something but don’t know much",0,0,0,0,1,0,0,0,0,0,0,"",0,0,0,0,1,0,0,0,0,0,"","Tall","Skinny","Elegant","Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Agree",4,"Agree",4,"Agree",2,"Neutral",3,"Agree",2,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,3,"Neutral",3,"Not sure","","Not sure","",0,0,0,0,0,0,0,0,0,0,0,1,0,"","1-2 days",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"","Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,18,"Neither concerned or unconcerned","Neither concerned or unconcerned",6,"Frequently",5,"Sometimes",4,"Sometimes",4,"Occasionally",3,16,"No","","Agree",4,"Agree",4,"Neither agree or disagree",3,"Disagree",4,15,"65+","Male","","Greater London",NA,"Sub-urban","NW9","No","No","","","Further Education","","Education","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","65+",97
"2580","NatRep","692676-692667-71679509",187,"00:02:33","02/02/2021","16:03:09","02/02/2021","16:05:42","Yes","B",1,"No","not sure","TRUE",1,"TRUE",1,"FALSE",1,3,0,0,0,1,0,0,0,0,0,0,0,0,4,0.4,0,0,1,0,0,0,3,0.6,0,0,0,0,0,1,0,0,5,0,1,0,0,0,NA,NA,"","No","","I know something about it",0,0,0,0,0,0,0,0,0,1,0,"",0,0,0,0,0,0,1,0,0,0,"","Nice","","","Agree",4,"Strongly agree",5,"Strongly agree",1,"Agree",2,"Neutral",3,"Neutral",3,"Agree",4,"Agree",2,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Agree",4,"Agree",2,3,"Neutral",3,"No","none","Yes","none",0,0,0,1,0,0,0,0,0,0,0,0,0,"","None",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","Agree",5,"Strongly agree",6,"Agree",5,"Agree",5,"Strongly agree",6,"Agree",5,41,"Neither concerned or unconcerned","Neither concerned or unconcerned",6,"Sometimes",4,"Sometimes",4,"Frequently",5,"Frequently",5,18,"No","","Neither agree or disagree",3,"Agree",4,"Agree",4,"Neither agree or disagree",3,14,"45-54","Male","","South East",NA,"Sub-urban","GU25","No","No","","","Postgraduate degree (Masters; Doctorate)","","Healthcare","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","45-54",12
"2583","NatRep","692676-692667-71679957",190,"00:01:54","02/02/2021","16:07:22","02/02/2021","16:09:16","Yes","B",1,"No","none","TRUE",1,"TRUE",1,"FALSE",1,3,0,0,0,1,0,0,0,0,0,0,0,0,4,0.4,0,0,1,0,0,0,3,0.6,0,0,0,0,0,1,0,0,5,0,1,0,0,0,NA,NA,"","No","","I know something about it",0,0,0,0,0,1,0,0,0,0,0,"",0,0,0,0,1,0,0,0,0,0,"","","","","Neutral",3,"Agree",4,"Agree",2,"Strongly agree",1,"Agree",4,"Agree",4,"Agree",4,"Agree",2,"Neutral",3,"Agree",2,"Agree",2,"Agree",4,"Strongly agree",5,"Agree",2,3,"Neutral",3,"No","none","No","one",0,0,0,0,0,0,1,0,0,0,0,0,0,"","None",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","Neither agree or disagree",4,"Neither agree or disagree",4,"Agree",5,"Agree",5,"Agree",5,"Neither agree or disagree",4,25,"Neither concerned or unconcerned","Concerned",7,"Sometimes",4,"Sometimes",4,"Occasionally",3,"Occasionally",3,14,"No","","Neither agree or disagree",3,"Neither agree or disagree",3,"Agree",4,"Agree",2,12,"45-54","Male","","South East",NA,"Sub-urban","GU25","No","No","","","Postgraduate degree (Masters; Doctorate)","","Healthcare","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","45-54",3
"2584","NatRep","692676-692667-71679844",191,"00:03:21","02/02/2021","16:06:25","02/02/2021","16:09:46","Yes","B",1,"No","","FALSE",0,"TRUE",1,"TRUE",0,1,1,0,0,1,0,0,1,0,0,0,0,0,6,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.5,0,0,1,0,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,0,0,0,1,0,1,0,0,0,"","Tall","White","Thin","Strongly agree",5,"Neutral",3,"Disagree",4,"Agree",2,"Disagree",2,"Neutral",3,"Agree",4,"Neutral",3,"Disagree",4,"Agree",2,"Disagree",4,"Agree",4,"Neutral",3,"Agree",2,3.21,"Strongly agree",5,"Yes","","No","",0,0,0,0,1,0,0,1,0,0,1,0,0,"","None",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,"","Strongly disagree",2,"Neither agree or disagree",4,"Agree",5,"Disagree",3,"Disagree",3,"Agree",5,20,"Not very concerned","Neither concerned or unconcerned",5,"Rarely",2,"Occasionally",3,"Occasionally",3,"Occasionally",3,11,"No","","Disagree",2,"Neither agree or disagree",3,"Agree",4,"Disagree",4,13,"18-24","Male","","Yorkshire and the Humber",NA,"Sub-urban","Yo25","No","No","","","Undergraduate degree","","Unemployed","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","18-24",37
"2589","NatRep","692676-692667-71681042",196,"00:05:13","02/02/2021","16:18:22","02/02/2021","16:23:35","No","D",0,"No","","TRUE",1,"Don't know",0,"Don't know",0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0.1,1,0,0,0,1,0,2,0.4,1,0,1,0,0,0,3,0.6,2.1,0,0,0,1,0,NA,NA,"","No","","I know something about it",0,0,0,1,0,0,0,0,0,0,0,"",0,0,0,1,0,0,0,0,0,0,"","Tall","Distinctive ","Fun","Agree",4,"Agree",4,"Agree",2,"Agree",2,"Agree",4,"Agree",4,"Agree",4,"Agree",2,"Agree",2,"Agree",2,"Agree",2,"Agree",4,"Strongly agree",5,"Agree",2,3.07,"Agree",4,"Yes","","Not sure","",0,0,0,0,0,0,1,0,1,0,0,0,0,"","1-2 days",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","Agree",5,"Agree",5,"Agree",5,"Agree",5,"Agree",5,"Agree",5,34,"Concerned","Concerned",8,"Frequently",5,"Frequently",5,"Sometimes",4,"Sometimes",4,18,"No","","Agree",4,"Neither agree or disagree",3,"Agree",4,"Agree",2,13,"45-54","Female","","South East",NA,"Urban","SS15","No","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Hospitality","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","45-54",108
"2607","NatRep","692676-692667-71687595",214,"00:04:47","02/02/2021","17:12:42","02/02/2021","17:17:29","No","B",1,"Not sure","","Don't know",0,"Don't know",0,"Don't know",0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0.4,0,0,1,0,0,0,3,0.6,0,0,0,0,0,1,0,0,2,0,0,1,0,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,1,1,0,0,0,0,0,0,"","White","","","Neutral",3,"Neutral",3,"Disagree",4,"Disagree",4,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,3.14,"Neutral",3,"Not sure","","Not sure","",0,0,0,0,0,0,0,0,0,0,0,1,0,"","1-2 days",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Strongly disagree",2,"Strongly disagree",2,"Strongly disagree",2,"Strongly disagree",2,"Strongly disagree",2,"Strongly disagree",2,5,"Extremely concerned","Extremely concerned",10,"Sometimes",4,"Never",1,"Never",1,"Occasionally",3,9,"No","","Agree",4,"Agree",4,"Neither agree or disagree",3,"Disagree",4,15,"35-44","Female","","Yorkshire and the Humber",NA,"Sub-urban","YO24","No","No","","","Undergraduate degree","","Building & Maintenance","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","35-44",87
"2608","NatRep","692676-692667-71688052",215,"00:03:01","02/02/2021","17:17:15","02/02/2021","17:20:16","No","D",0,"Not sure","","Don't know",0,"Don't know",0,"Don't know",0,0,1,0,0,1,0,0,0,1,0,1,0,0,7,0.6,0,0,1,0,0,0,3,0.6,0,0,0,0,0,1,0,0,1.2,0,0,0,1,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,1,0,"","Bird","tall","White","Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,NA,"Don't know",NA,"Not sure","","Not interested","",0,0,0,0,0,0,0,0,0,0,0,1,0,"","1-2 days",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"","Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,18,"Neither concerned or unconcerned","Neither concerned or unconcerned",6,"Never",1,"Never",1,"Never",1,"Never",1,4,"No","","Neither agree or disagree",3,"Neither agree or disagree",3,"Neither agree or disagree",3,"Neither agree or disagree",3,12,"45-54","Male","","Scotland",NA,"Urban","G44","No","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Sales","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","45-54",24
"2620","NatRep","692676-692667-71690448",227,"00:04:04","02/02/2021","17:42:07","02/02/2021","17:46:11","No","B",1,"No","I have had some great ","Don't know",0,"Don't know",0,"TRUE",0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0.5,0,0,1,0,0,0,3,0.6,1,0,0,0,1,0,3,0.6,2.7,0,0,0,1,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,0,0,0,0,0,0,0,0,0,"","","","","Agree",4,"Agree",4,"Agree",2,"Agree",2,"Agree",4,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Agree",2,"Agree",4,"Neutral",3,"Agree",2,3,"Neutral",3,"Not sure","Hi thanks for this morning thanks ","Not interested","Hi I am going on yyyy",0,0,0,0,0,0,0,0,0,0,0,1,0,"","5-6 days",0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,"","Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,18,"Neither concerned or unconcerned","Neither concerned or unconcerned",6,"Occasionally",3,"Sometimes",4,"Occasionally",3,"Sometimes",4,14,"No","","Neither agree or disagree",3,"Neither agree or disagree",3,"Neither agree or disagree",3,"Disagree",4,13,"55-64","Male","","East of England",NA,"Sub-urban","Co4","No","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Retired","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","55-64",60
"2630","NatRep","692676-692667-71693310",237,"00:04:12","02/02/2021","18:14:38","02/02/2021","18:18:50","No","D",0,"Not sure","","Don't know",0,"Don't know",0,"Don't know",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0.6,0,1,0,0,0,0,0,0,0.6,0,0,0,0,1,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,1,0,0,0,0,0,0,0,0,"","","","","Neutral",3,"Neutral",3,"Disagree",4,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,3.07,"Neutral",3,"Not sure","","No","",1,1,0,0,1,0,0,0,1,0,0,0,0,"","1-2 days",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Completely agree",7,"Agree",5,57,"Concerned","Concerned",8,"Rarely",2,"Occasionally",3,"Never",1,"Rarely",2,8,"Yes","greenpeace","Neither agree or disagree",3,"Neither agree or disagree",3,"Neither agree or disagree",3,"Neither agree or disagree",3,12,"45-54","Male","","Scotland",NA,"Urban","G31","No","No","","","Undergraduate degree","","Computer & Mathematical","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","45-54",64
"2632","NatRep","692676-692667-71693650",239,"00:04:56","02/02/2021","18:18:42","02/02/2021","18:23:38","No","B",1,"Not sure","","Don't know",0,"Don't know",0,"Don't know",0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.5,0,0,0,0,1,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,1,0,"","White","Bird","Stork","Neutral",3,"Agree",4,"Strongly disagree",5,"Strongly disagree",5,"Agree",4,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Neutral",3,"Disagree",4,"Neutral",3,"Neutral",3,"Strongly disagree",5,3.64,"Neutral",3,"Yes","","No","",0,0,0,0,0,0,0,0,0,0,0,1,0,"","1-2 days",1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,"","Agree",5,"Agree",5,"Agree",5,"Agree",5,"Agree",5,"Neither agree or disagree",4,31,"Extremely concerned","Extremely concerned",10,"Frequently",5,"Rarely",2,"Never",1,"Rarely",2,10,"No","","Neither agree or disagree",3,"Agree",4,"Neither agree or disagree",3,"Neither agree or disagree",3,13,"18-24","Female","","South West",NA,"Sub-urban","Po30","No","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Healthcare","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","18-24",94
"2641","NatRep","692676-692667-71694929",248,"00:04:31","02/02/2021","18:35:25","02/02/2021","18:39:56","Yes","D",0,"Not sure","","TRUE",1,"TRUE",1,"TRUE",0,2,1,0,0,1,0,1,0,0,0,0,0,0,4,0.4,1,1,0,0,0,0,4,0.8,1,0,0,1,0,0,3,0.6,3.8,0,0,0,1,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,0,0,1,0,0,0,0,0,"","White","","Rare","Strongly agree",5,"Agree",4,"Strongly disagree",5,"Strongly disagree",5,"Strongly agree",5,"Strongly agree",5,"Strongly agree",5,"Strongly agree",1,"Disagree",4,"Disagree",4,"Strongly disagree",5,"Neutral",3,"Agree",4,"Strongly disagree",5,4.29,"Strongly agree",5,"Yes","","Not sure","",1,1,0,0,0,0,0,0,0,0,0,0,0,"","1-2 days",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"","Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,"Strongly agree",6,59,"Extremely concerned","Extremely concerned",10,"Sometimes",4,"Very Frequently",6,"Very Frequently",6,"Very Frequently",6,22,"No","","Agree",4,"Agree",4,"Agree",4,"Strongly disagree",5,17,"55-64","Male","","Greater London",NA,"Urban","cr0","No","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Office and Administrative Support","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","55-64",77
"2642","NatRep","692676-692667-71696326",249,"00:02:32","02/02/2021","18:53:40","02/02/2021","18:56:12","No","Don't know",0,"Not sure","","Don't know",0,"Don't know",0,"Don't know",0,0,1,1,0,1,1,1,1,0,1,1,1,0,6,0.5,0,0,1,0,0,0,3,0.6,0,0,0,0,1,0,2,0.4,1.5,0,0,0,1,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,1,0,"","","","","Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Neutral",3,"Neutral",3,"Neutral",3,"Agree",2,NA,"Neutral",3,"Yes","","No","",0,0,0,0,0,0,0,0,0,0,0,1,0,"","1-2 days",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Agree",5,"Agree",5,"Agree",5,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,27,"Neither concerned or unconcerned","Neither concerned or unconcerned",6,"Occasionally",3,"Sometimes",4,"Sometimes",4,"Occasionally",3,14,"No","","Disagree",2,"Disagree",2,"Disagree",2,"Disagree",4,10,"35-44","Female","","Greater London",NA,"Sub-urban","Ha4","No","No","","","Undergraduate degree","","Business & Finance","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","35-44",11
"2643","NatRep","692676-692667-71696857",250,"00:04:21","02/02/2021","18:59:32","02/02/2021","19:03:53","No","Don't know",0,"Not sure","not sure","Don't know",0,"Don't know",0,"Don't know",0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0.4,0,0,1,0,0,0,3,0.6,0,0,0,0,0,1,0,0,1,0,0,0,0,1,NA,NA,"","Not sure","","I am involved in the effort",0,0,0,0,0,0,0,0,1,0,0,"",0,0,0,0,0,0,0,0,1,0,"","","","","Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,NA,"Don't know",NA,"Not sure","not sure","Not interested","not sure",0,0,0,0,0,0,0,0,0,0,0,1,0,"","None",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Completely disagree",1,"Completely disagree",1,"Completely disagree",1,"Completely disagree",1,"Completely disagree",1,"Completely disagree",1,0,"Not at all concerned","Not at all concerned",2,"Never",1,"Never",1,"Never",1,"Never",1,4,"No","","Strongly disagree",1,"Strongly disagree",1,"Strongly disagree",1,"Strongly disagree",5,8,"25-34","Male","","Scotland",NA,"Urban","IV2","No","No","","","Secondary school (GCSEs, A Levels or equivalent)","","Unemployed","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","not sure","25-34",70
"2644","NatRep","692676-692667-71697804",251,"00:03:10","02/02/2021","19:12:18","02/02/2021","19:15:28","No","D",0,"Not sure","I don't know if it is.","Don't know",0,"Don't know",0,"Don't know",0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0.4,0,0,1,0,0,0,3,0.6,0,0,0,0,0,1,0,0,1,0,0,0,1,0,NA,NA,"","No","","Nothing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0,0,0,0,0,0,0,0,1,0,"","","","","Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,"Don't know",NA,NA,"Don't know",NA,"Yes","Be good to have more variety in the country.","No","",0,0,0,0,0,0,0,0,0,0,0,1,0,"","None",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,"Neither agree or disagree",4,18,"Neither concerned or unconcerned","Neither concerned or unconcerned",6,"Never",1,"Never",1,"Never",1,"Never",1,4,"No","","Neither agree or disagree",3,"Neither agree or disagree",3,"Neither agree or disagree",3,"Neither agree or disagree",3,12,"35-44","Male","","Scotland",NA,"Rural","EH48","No","No","","","Undergraduate degree","","Business & Finance","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","none","35-44",30
